idx,pass,fail,inconclusive,stage1_fail,pass_pct,fail_pct,inconclusive_pct
1,1,0,0,0,100.0,0.0,0.0
2,2,0,0,0,100.0,0.0,0.0
3,3,0,0,0,100.0,0.0,0.0
4,4,0,0,0,100.0,0.0,0.0
5,4,1,0,0,80.0,20.0,0.0
6,4,2,0,0,66.7,33.3,0.0
7,5,2,0,0,71.4,28.6,0.0
8,6,2,0,0,75.0,25.0,0.0
9,7,2,0,0,77.8,22.2,0.0
10,8,2,0,0,80.0,20.0,0.0
11,9,2,0,0,81.8,18.2,0.0
12,10,2,0,0,83.3,16.7,0.0
13,11,2,0,0,84.6,15.4,0.0
14,12,2,0,0,85.7,14.3,0.0
15,13,2,0,0,86.7,13.3,0.0
16,14,2,0,0,87.5,12.5,0.0
17,15,2,0,0,88.2,11.8,0.0
18,16,2,0,0,88.9,11.1,0.0
19,17,2,0,0,89.5,10.5,0.0
20,18,2,0,0,90.0,10.0,0.0
21,19,2,0,0,90.5,9.5,0.0
22,20,2,0,0,90.9,9.1,0.0
23,21,2,0,0,91.3,8.7,0.0
24,22,2,0,0,91.7,8.3,0.0
25,23,2,0,0,92.0,8.0,0.0
26,24,2,0,0,92.3,7.7,0.0
27,25,2,0,0,92.6,7.4,0.0
28,26,2,0,0,92.9,7.1,0.0
29,27,2,0,0,93.1,6.9,0.0
30,28,2,0,0,93.3,6.7,0.0
31,29,2,0,0,93.5,6.5,0.0
32,29,3,0,0,90.6,9.4,0.0
33,30,3,0,0,90.9,9.1,0.0
34,31,3,0,0,91.2,8.8,0.0
35,32,3,0,0,91.4,8.6,0.0
36,33,3,0,0,91.7,8.3,0.0
37,34,3,0,0,91.9,8.1,0.0
38,35,3,0,0,92.1,7.9,0.0
39,35,3,0,0,92.1,7.9,0.0
40,35,3,0,0,92.1,7.9,0.0
41,35,3,0,0,92.1,7.9,0.0
42,36,3,0,0,92.3,7.7,0.0
43,36,3,0,0,92.3,7.7,0.0
44,36,3,0,0,92.3,7.7,0.0
45,37,3,0,0,92.5,7.5,0.0
46,38,3,0,0,92.7,7.3,0.0
47,39,3,0,0,92.9,7.1,0.0
48,40,3,0,0,93.0,7.0,0.0
49,41,3,0,0,93.2,6.8,0.0
50,42,3,0,0,93.3,6.7,0.0
51,43,3,0,0,93.5,6.5,0.0
52,44,3,0,0,93.6,6.4,0.0
53,45,3,0,0,93.8,6.2,0.0
54,45,4,0,0,91.8,8.2,0.0
55,46,4,0,0,92.0,8.0,0.0
56,46,4,0,0,92.0,8.0,0.0
57,46,4,0,0,92.0,8.0,0.0
58,47,4,0,0,92.2,7.8,0.0
59,47,4,0,0,92.2,7.8,0.0
60,48,4,0,0,92.3,7.7,0.0
61,48,4,0,0,92.3,7.7,0.0
62,49,4,0,0,92.5,7.5,0.0
63,49,5,0,0,90.7,9.3,0.0
64,49,6,0,0,89.1,10.9,0.0
65,49,7,0,0,87.5,12.5,0.0
66,50,7,0,0,87.7,12.3,0.0
67,50,7,0,0,87.7,12.3,0.0
68,50,7,0,0,87.7,12.3,0.0
69,50,7,0,0,87.7,12.3,0.0
70,51,7,0,0,87.9,12.1,0.0
71,51,7,0,0,87.9,12.1,0.0
72,51,7,0,0,87.9,12.1,0.0
73,51,7,0,0,87.9,12.1,0.0
74,51,7,0,0,87.9,12.1,0.0
75,51,7,0,0,87.9,12.1,0.0
76,51,7,0,0,87.9,12.1,0.0
77,51,7,0,0,87.9,12.1,0.0
78,51,7,0,0,87.9,12.1,0.0
79,52,7,0,0,88.1,11.9,0.0
80,53,7,0,0,88.3,11.7,0.0
