idx,pass,fail,inconclusive,stage1_fail,pass_pct,fail_pct,inconclusive_pct
1,1,0,0,0,100.0,0.0,0.0
2,2,0,0,0,100.0,0.0,0.0
3,3,0,0,0,100.0,0.0,0.0
4,4,0,0,0,100.0,0.0,0.0
5,5,0,0,0,100.0,0.0,0.0
6,6,0,0,0,100.0,0.0,0.0
7,7,0,0,0,100.0,0.0,0.0
8,8,0,0,0,100.0,0.0,0.0
9,9,0,0,0,100.0,0.0,0.0
10,10,0,0,0,100.0,0.0,0.0
11,11,0,0,0,100.0,0.0,0.0
12,12,0,0,0,100.0,0.0,0.0
13,13,0,0,0,100.0,0.0,0.0
14,14,0,0,0,100.0,0.0,0.0
15,15,0,0,0,100.0,0.0,0.0
16,16,0,0,0,100.0,0.0,0.0
17,17,0,0,0,100.0,0.0,0.0
18,18,0,0,0,100.0,0.0,0.0
19,19,0,0,0,100.0,0.0,0.0
20,20,0,0,0,100.0,0.0,0.0
21,21,0,0,0,100.0,0.0,0.0
22,22,0,0,0,100.0,0.0,0.0
23,23,0,0,0,100.0,0.0,0.0
24,24,0,0,0,100.0,0.0,0.0
25,24,0,0,0,100.0,0.0,0.0
26,25,0,0,0,100.0,0.0,0.0
27,26,0,0,0,100.0,0.0,0.0
28,27,0,0,0,100.0,0.0,0.0
29,28,0,0,0,100.0,0.0,0.0
30,29,0,0,0,100.0,0.0,0.0
31,30,0,0,0,100.0,0.0,0.0
32,31,0,0,0,100.0,0.0,0.0
33,32,0,0,0,100.0,0.0,0.0
34,33,0,0,0,100.0,0.0,0.0
35,34,0,0,0,100.0,0.0,0.0
36,35,0,0,0,100.0,0.0,0.0
37,36,0,0,0,100.0,0.0,0.0
38,37,0,0,0,100.0,0.0,0.0
39,37,0,0,0,100.0,0.0,0.0
40,37,0,0,0,100.0,0.0,0.0
41,37,1,0,0,97.4,2.6,0.0
42,38,1,0,0,97.4,2.6,0.0
43,38,1,0,0,97.4,2.6,0.0
44,38,1,0,0,97.4,2.6,0.0
45,39,1,0,0,97.5,2.5,0.0
46,40,1,0,0,97.6,2.4,0.0
47,41,1,0,0,97.6,2.4,0.0
48,42,1,0,0,97.7,2.3,0.0
49,43,1,0,0,97.7,2.3,0.0
50,44,1,0,0,97.8,2.2,0.0
51,45,1,0,0,97.8,2.2,0.0
52,46,1,0,0,97.9,2.1,0.0
53,47,1,0,0,97.9,2.1,0.0
54,48,1,0,0,98.0,2.0,0.0
55,49,1,0,0,98.0,2.0,0.0
56,49,1,0,0,98.0,2.0,0.0
57,49,1,0,0,98.0,2.0,0.0
58,50,1,0,0,98.0,2.0,0.0
59,50,1,0,0,98.0,2.0,0.0
60,51,1,0,0,98.1,1.9,0.0
61,51,1,0,0,98.1,1.9,0.0
62,52,1,0,0,98.1,1.9,0.0
63,52,1,0,0,98.1,1.9,0.0
64,52,1,0,0,98.1,1.9,0.0
65,52,1,0,0,98.1,1.9,0.0
66,53,1,0,0,98.1,1.9,0.0
67,53,1,0,0,98.1,1.9,0.0
68,53,1,0,0,98.1,1.9,0.0
69,53,1,0,0,98.1,1.9,0.0
70,53,1,0,0,98.1,1.9,0.0
71,53,1,0,0,98.1,1.9,0.0
72,53,1,0,0,98.1,1.9,0.0
73,53,1,0,0,98.1,1.9,0.0
74,53,1,0,0,98.1,1.9,0.0
75,53,1,0,0,98.1,1.9,0.0
76,53,1,0,0,98.1,1.9,0.0
77,53,1,0,0,98.1,1.9,0.0
78,53,1,0,0,98.1,1.9,0.0
79,53,1,0,0,98.1,1.9,0.0
80,53,1,0,0,98.1,1.9,0.0
